Reference number	Reference						
R638	Smirnov, N.N. (1961) Food cycles in sphagnous bogs. Hydrobiologia, 17, 175–182. https://doi.org/10.1007/BF00040419.						
R639	Bennett, B.A. (1989) The diets of fish in three south-western Cape estuarine systems. African Zoology, 24, 163–177.						
R640	Russell, B.C. (1983) The food and feeding habits of rocky reef fish of north‐eastern New Zealand. New Zealand Journal of Marine and Freshwater Research, 17, 121–145. https://doi.org/10.1080/00288330.1983.9515991.						
R641	Dexter, R.W. (1947) The Marine Communities of a Tidal Inlet at Cape Ann, Massachusetts: A Study in Bio‐Ecology. Ecological Monographs, 17, 261–294. https://doi.org/10.2307/1948658.						
R642	Chacko, P.I. (1949) Food and feeding habits of the fishes of the Gulf of Manaar. Proceedings/Indian Academy of Sciences, pp. 83–97.						
R643	Legon, N.W., Henrici, A., Roberts, P.J., Spooner, B.M., Watling, R. & others (2005) Checklist of the British and Irish Basidiomyco, Royal Botanic Gardens, Kew.						
R644	HILDREW, A.G., TOWNSEND, C.R. & HASHAM, A. (1985) The predatory Chironomidae of an iron-rich stream: feeding ecology and food web structure. Ecological Entomology, 10, 403–413. https://doi.org/10.1111/j.1365-2311.1985.tb00738.x.						
R645	Young, J.W. & Davis, T.L.O. (1992) Feeding ecology and interannual variations in diet of larval jack mackerel, Trachurus declivis (Pisces: Carangidae), from coastal waters of eastern Tasmania. Marine Biology, 113, 11–20. https://doi.org/10.1007/BF00367633.						
R646	Nagasawa, K. & Kawamura, H. (2003) Predation on juvenile chum salmon Oncorhynchus keta by fishes and birds in rivers and coastal oceanic waters of Japan. Ecology of Aquaculture Species and Enhancement of Stocks. Proceedings of the Thirtieth U.S. – Japan Meeting on Aquaculture. Sarasota, Florida, 3-4 December. UJNR Technical Report No. 30 (ed. by Y. Nakamura, J.P. McVey, K. Leber, C. Neidig, S. Fox, and K. Churchill) , pp. 127–137. Mote Marine Laboratory, Sarasota, FL.						
R647	De Nie, H.W. (1987) Food, feeding periodicity and consumption of the eel Anguilla anguilla (L.) in the shallow eutrophic Tjeukemeer (The Netherlands). Archiv für Hydrobiologie, 109, 421–443. https://doi.org/10.1127/archiv-hydrobiol/109/1987/421.						
R648	Ayala, D.J., Munk, P., Lundgreen, R.B.C., Traving, S.J., Jaspers, C., Jørgensen, T.S., Hansen, L.H. & Riemann, L. (2018) Gelatinous plankton is important in the diet of European eel (Anguilla anguilla) larvae in the Sargasso Sea. Scientific Reports, 8, 6156. https://doi.org/10.1038/s41598-018-24388-x.						
R649	Burchmore, J., Pollard, D., Middleton, M., Bell, J. & Pease, B. (1988) Biology of four species of Whiting (Pisces: Sillaginidae) in Botany Bay, NSW. Marine and Freshwater Research, 39, 709. https://doi.org/10.1071/MF9880709.						
R650	Dou, S. (1992) Feeding habit and seasonal variation of food constituents of left-eyed flounder, Paralichthys olivaceus, of the Bohai Sea. Marine Science, 4, 277–281. (From Fishbase www.fishbase.org)						
R651	Kanou, K., Sano, M. & Kohno, H. (2005) Ontogenetic diet shift, feeding rhythm, and daily ration of juvenile yellowfin goby Acanthogobius flavimanus on a tidal mudflat in the Tama River estuary, central Japan. Ichthyological Research, 52, 319–324. https://doi.org/10.1007/s10228-005-0287-1.						
R652	Lasiak, T.A. (1986) Juveniles, food and the surf zone habitat: implications for teleost nursery areas. South African Journal of Zoology, 21, 51–56. https://doi.org/10.1080/02541858.1986.11447956.						
R653	Turay, I., Vakily, J.M., Palomares, M.L.D. & Pauly, D. (2006) PERIOPHTHALMUS BARBARUS ON MUDFLATS OF FREETOWN, SIERRA LEONE1. Fisheries Centre Research Reports, 14, 49.						
R654	Patzner, R., Van Tassell, J.L., Kovacic, M. & Kapoor, B.G. (2011) The biology of gobies, CRC Press.						
R655	Tesch, F.-W. (1977) The Eel: Biology and Management of Anguillid Eels, (ed. by P.H. Greenwood) Springer Netherlands, Dordrecht XIV, 434p. https://doi.org/10.1007/978-94-009-5761-9.						
R656	Sazima, I. (1984) Scale-eating in characoids and other fishes. pp. 9–23. https://doi.org/10.1007/978-94-015-7682-6_1.						
R657	Whitehead, P.J.P. (1988) FAO Species Catalogue, Vol. 7 Clupeoid fishes of the world (Suborder Clupeioidei). An annotated and illustarated catalogue of the herrings, sardines, pilchards, sprats, shads, anchories and wolf-herrings. Part 2-Engraulididae., viii+--305.						
R658	Penttinen, O.-P. & Holopainen, I.J. (1992) Seasonal feeding activity and ontogenetic dietary shifts in crucian carp, Carassius carassius. An annotated and illustarated catalogue of the herrings, sardines, pilchards, sprats, shads, anchories and wolf-herrings. Part 2-Engraulididae., pp. 215–222. FAO. https://doi.org/10.1007/978-94-011-2544-4_19.						
R659	Havens, K. (1992) Scale and Structure in Natural Food Webs. Science, 257, 1107–1109. https://doi.org/10.1126/science.257.5073.1107.						
R660	Hurlbert, S.H., Mulla, M.S. & Willson, H.R. (1972) Effects of an Organophosphorus Insecticide on the Phytoplankton, Zooplankton, and Insect Populations of Fresh‐Water Ponds. Ecological Monographs, 42, 269–299. https://doi.org/10.2307/1942211.						
R661	Specziár, A., Tölg, L. & Bíró, P. (1997) Feeding strategy and growth of cyprinids in the littoral zone of Lake Balaton. Journal of Fish Biology, 51, 1109–1124. https://doi.org/10.1111/j.1095-8649.1997.tb01130.x.						
R662	Bitterlich, G. (1985) The nutrition of stomachless phytoplanktivorous fish in comparison with tilapia. Hydrobiologia, 121, 173–179.						
R663	NOAA (2023) Resource Ecology and Ecosystem Modeling - Groundfish Diet Data. Alaska Fisheries Science Center. https://apps-afsc.fisheries.noaa.gov/refm/reem/webdietdata/dietdataintro.php.						
R664	Hamada, R. & Kinoshita, I. (1988) Feeding habit of larval and juvenile ayu, Plecoglossus altivelis in the surf zone of Tosa Bay, Japan. Japanese Journal of Ichthyology, 35, 382–388.						
R665	Popova, O.A. & S’erra, L. (1983) Feeding of black jack, Caranx ruber (Carangidae), on the Cuban shelf in the Gulf of Batabano. I. Seasonal and age-dependent dynamics of feeding. Journal of Ichthyology, 23, 97–105. (From Fishbase www.fishbase.org)						
R666	Siaw-Yang, Y. (1988b) Food resource utilization partitioning of fifteen fish species at Bukit Merah Reservoir, Malaysia. Hydrobiologia, 157, 143–160. https://doi.org/10.1007/BF00006967.						
R667	Zolotov, O.G. & Tokranov, A.M. (1991) Feeding characteristics of greenlings and Irish lords during spawning in the upper sublittoral of eastern Kamchatka. Journal of Ichthyology, 31, 146–155.						
R668	Douglass, J.G., Emmett Duffy, J. & Canuel, E.A. (2011) Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis. Estuaries and Coasts, 34, 701–711. https://doi.org/10.1007/s12237-010-9356-4.						
R669	Bocca, S. (2022) 묵은실잠자리 in 8월 2022 by Simone Bocca · iNaturalist. iNaturalist. https://www.inaturalist.org/observations/129419917.						
R670	Jones, J.R.E. (1951) An Ecological Study of the River Towy. The Journal of Animal Ecology, 20, 68. https://doi.org/10.2307/1645.						
R671	Turner, G.F., Grimm, A.S., Mhone, O.K., Robinson, R.L. & Pitcher, T.J. (1991) The diet of Oreochromis lidole (Trewavas) and other chambo species in Lakes Malawi and Malombe. Journal of Fish Biology, 39, 15–24. https://doi.org/10.1111/j.1095-8649.1991.tb04337.x.						
R672	Wijeyaratne, M.J.S. & Perera, W. (2001) Trophic interrelationships among the exotic and indigenous fish co-occurring in some reservoirs in Sri Lanka.						
R673	Fuita, T., Kitagawa, D., Okuyama, Y., Ishito, Y., Inada, T. & Jin, Y. (1995) Diets of the demersal fishes on the shelf off Iwate, northern Japan. Marine Biology, 123, 219–233. https://doi.org/10.1007/BF00353613.						
R674	Gibson, R.N. & Robb, L. (1996) Piscine predation on juvenile fishes on a Scottish sandy beach. Journal of Fish Biology, 49, 120–138. https://doi.org/10.1111/j.1095-8649.1996.tb00009.x.						
R675	Gomes, T.M., Sola, E., Grós, M.P., Menezes, G. & Pinho, M.R. (1998) Trophic relationships and feeding habits of demersal fishes from the Azores: importance to multispecies assessment. ICES CM 1998/O:7. (From Fishbase www.fishbase.org)						
R676	Cox, M.L. (2007) Atlas of the seed and leaf beetles of Britain and Ireland (Coleoptera, Bruchidae, Chrysomelidae, Megalopodidae and Orsodacnidae), Pisces Publications, Newbury, Berkshire vii, 336p.						
R677	Alcorlo, P., Baltanás, A. & Montes, C. (2001) Food-web structure in two shallow salt lakes in Los Monegros (NE Spain): energetic vs dynamic constraints. Saline Lakes, pp. 307–316. Springer Netherlands, Dordrecht. https://doi.org/10.1007/978-94-017-2934-5_28.						
R678	Barraclough, W.E. (1967) Manuscript report series 922: Number, size and food of larval and juvenile fish caught with a two boat surface trawl in the Strait of Georgia April 25-29, 1966, Nanaimo, B.C. 54p. https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/12655.pdf.						
R679	Fuji, T., Kasai, A., Suzuki, K.W., Ueno, M. & Yamashita, Y. (2010) Freshwater migration and feeding habits of juvenile temperate seabass Lateolabrax japonicus in the stratified Yura River estuary, the Sea of Japan. Fisheries Science, 76, 643–652. https://doi.org/10.1007/s12562-010-0258-y.						
R680	Harrison, T.D. (1991) A note on the diet and feeding selectivity of juvenile riverbream, Acanthopagrus berda (Forskal, 1775), in a subtropical mangrove creek. African Zoology, 26, 36–42.						
R681	Beumer, J.P. (1978) Feeding ecology of four fishes from a mangrove creek in north Queensland, Australia. Journal of Fish Biology, 12, 475–490. https://doi.org/10.1111/j.1095-8649.1978.tb04191.x.						
R682	Nasir, N.A. (2000) The food and the feeding relationships of the fish communities in the inshore waters of Khor Al-Zubair, North-West Arabian Gulf.						
R683	Kimura, S. & Jiang, Z. (1995) Zoarchias microstomus, a new stichaeid fish from northeastern China. Japanese Journal of Ichthyology, 42, 115–119.						
R684	Hindell, J.S., Jenkins, G.P. & Keough, M.J. (2000) Variability in abundances of fishes associated with seagrass habitats in relation to diets of predatory fishes. Marine Biology, 136, 725–737. https://doi.org/10.1007/s002270050732.						
R685	Thieltges, D.W., Reise, K., Mouritsen, K.N., McLaughlin, J.P. & Poulin, R. (2011) Food web including metazoan parasites for a tidal basin in Germany and Denmark. Ecology, 92, 2005–2005. https://doi.org/10.1890/11-0351.1.						
R686	Wood, S.A., Russell, R., Hanson, D., Williams, R.J. & Dunne, J.A. (2015) Effects of spatial scale of sampling on food web structure. Ecology and Evolution, 5, 3769–3782. https://doi.org/10.1002/ece3.1640.						
R687	Rainbow, P., Poirier, L., Smith, B., Brix, K. & Luoma, S. (2006) Trophic transfer of trace metals from the polychaete worm Nereis diversicolor to the polychaete N. virens and the decapod crustacean Palaemonetes varians. Marine Ecology Progress Series, 321, 167–181. https://doi.org/10.3354/meps321167.						
R688	Lafferty, K.D., Hechinger, R.F., Shaw, J.C., Whitney, K.L., Kuris, A.M. & others (2006) Food webs and parasites in a salt marsh ecosystem. Disease ecology: community structure and pathogen dynamics, 119–134.						
R689	Christofoletti, R., Murakami, V., Oliveira, D., Barreto, R. & Flores, A. (2010) Foraging by the omnivorous crab Pachygrapsus transversus affects the structure of assemblages on sub-tropical rocky shores. Marine Ecology Progress Series, 420, 125–135. https://doi.org/10.3354/meps08880.						
R690	Chartosia, N., Kitsos, M.-S., Tzomos, T.H., Mavromati, E. & Koukouras, A. (2010) Diet composition of five species of crabs (Decapoda, Brachyura) that show a gradual transition from marine to terrestrial life. Crustaceana, 1181–1197.						
R691	Marioghae, I.E. (1989) Trophic relationships of the white estuarine prawn Nematopalaemon hastatus (Aurivillius, 1898)(Decapoda, Palaemonidae). Revue d’Hydrobiolgie Tropicale, 22, 289–291.						
R692	Odum, W.E. & Heald, E.J. (1972) Trophic analyses of an estuarine mangrove community. Bulletin of Marine Science, 22, 671–738.						
R693	Bray, D.M. (1976) A review of two Western Australian shrimps of the genus Palaemonetes, P. australis Dakin 1915 and P. atrinubes sp. Nov. (Decapoda, Palaemonidae). Records of the Western Australian Museum, 4, 65–84.						
R694	Filgueira, R. & Castro, B.G. (2011) Study of the trophic web of San Simón Bay (Ría de Vigo) by using stable isotopes. Continental Shelf Research, 31, 476–487. https://doi.org/10.1016/j.csr.2010.10.010.						
R695	Sitts, R.M. & Knight, A.W. (1979) Predation by the estuarine shrimps Crangon franciscorum Stimpson and Palaemon macrodactylus Rathbun. The Biological Bulletin, 156, 356–368.						
R696	Guerao, G., Anger, K., Simoni, R., Cannicci, S. & others (2012) The early life history of Chiromantes ortmanni (Crosnier, 1965)(Decapoda: Brachyura: Sesarmidae): morphology of larval and juvenile stages. Zootaxa, 3347, 36–62.						
R697	Levine, S.J. (1980) Gut contents of forty-four Lake Pontchartrain fish species, 1977--1978. Environmental analys of Lake Pontchartrain, Louisiana, its surrounding wetlands, and selected land uses, 2, 899–994. (from Center for Coastal Studies (2023) GoMexSI. Gulf of Mexico Species Interactions. http://gomexsi.tamucc.edu/.)						
R698	Macpherson, E. (1981) Resource Partitioning in a Mediterranean Demersal Fish Community. Marine Ecology Progress Series, 4, 183–193. https://doi.org/10.3354/meps004183.						
R699	Konchina, Y.V. & Pavlov, Y.P. (1995) On methods of determining the trophic status of species in ichthyocenes. Journal of Ichthyology, 35, 150–166. (From Fishbase www.fishbase.org)						
R700	Brewer, D.T., BLABER, S.J.M. & Salini, J.P. (1989) Feeding biology of Caranx bucculentus Alleyne and Macleay (Teleostei: Carangidae) in Albatross Bay, Gulf of Carpentaria, with special reference to predation on penaeid prawns. Australian journal of marine and freshwater research, 40, 657–668.						
R701	Moyle, P.B., Herbold, B., Stevens, D.E. & Miller, L.W. (1992) Life History and Status of Delta Smelt in the Sacramento-San Joaquin Estuary, California. Transactions of the American Fisheries Society, 121, 67–77. https://doi.org/10.1577/1548-8659(1992)121<0067:LHASOD>2.3.CO;2.						
R702	Bowman, R.E., Stillwell, C.E., Michaels, W.L. & Grosslein, M.D. (2000) NOAA Technical Memorandum NMFS-NE-155: Food of northwest Atlantic fishes and two common species of squid, U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Northeast Region, Northeast Fisheries Science Center, Woods Hole, MA 138p. https://doi.org/10.5962/bhl.title.4024.						
R703	Delbeek, J.C. & Williams, D.D. (1988) Feeding selectivity of four species of sympatric stickleback in brackish-water habitats in eastern Canada. Journal of Fish Biology, 32, 41–62. https://doi.org/10.1111/j.1095-8649.1988.tb05334.x.						
R704	Alikunhi, K.H. (1966) Synopsis of Biological Data on Common Carp Cyprinus Carpio (Linnaeus), 1758 (Asia and the Far East)., Food and Agriculture Organization of the United Nations.						
R705	Colle, D.E., Shireman, J. V. & Rottmann, R.W. (1978) Food Selection by Grass Carp Fingerlings in a Vegetated Pond. Transactions of the American Fisheries Society, 107, 149–152. https://doi.org/10.1577/1548-8659(1978)107<149:FSBGCF>2.0.CO;2.						
R706	Tudela, S., Palomera, I. & Quílez, G. (2002) Feeding of anchovy Engraulis encrasicolus larvae in the north-west Mediterranean. Journal of the Marine Biological Association of the United Kingdom, 82, 349–350. https://doi.org/10.1017/S0025315402005568.						
R707	Cohen, J.E., Jonsson, T. & Carpenter, S.R. (2003) Ecological community description using the food web, species abundance, and body size. Proceedings of the national academy of sciences, 100, 1781–1786.						
R708	Lancraft, T., Hopkins, T., Torres, J. & Donnelly, J. (1991) Oceanic micronektonic/macrozooplanktonic community structure and feeding in ice covered Antarctic waters during the winter (AMERIEZ 1988). Polar Biology, 11. https://doi.org/10.1007/BF00240204.						
R709	Baiser, B., Gotelli, N.J., Buckley, H.L., Miller, T.E. & Ellison, A.M. (2012) Geographic variation in network structure of a nearctic aquatic food web. Global Ecology and Biogeography, 21, 579–591. https://doi.org/10.1111/j.1466-8238.2011.00705.x.						
R710	Ivanov, D. (2023) Odontomyia tigrina from Zelenodol&#39;skiy rayon, RU-TT, RU on 2023년 05월 09일 (화) at 07:26 오전 by Denis Ivanov. на иве · iNaturalist. iNaturalist. https://www.inaturalist.org/observations/160764329.						
R711	FAO (2023) VENERIDAE. Cultured Aquatic Species Information Programme. Text by Figueras, A. Fisheries and Aquaculture Division. https://www.fao.org/fishery/en/culturedspecies/ruditapes_decussatus/en.						
R712	Day, J.H. (1967) The biology of Knysna Estuary, South Africa. Estuaries, 397–407.						
R713	Birkeland, C. (1974) Interactions between a Sea Pen and Seven of Its Predators. Ecological Monographs, 44, 211–232. https://doi.org/10.2307/1942312.						
R714	Harmelin-Vivien, M.L. (1979) Ichtyofaune des recifs coralliens de tulear (Madagascar): ecologie et relations trophiques. Doctoral Thesis. A L’Université D’aix-Marseille 269p.						
R715	Wang, W.-X. & Fisher, N.S. (1996) Assimilation of trace elements and carbon by the mussel Mytilus edulis : Effects of food composition. Limnology and Oceanography, 41, 197–207. https://doi.org/10.4319/lo.1996.41.2.0197.						
R716	Coe, W.R. & Fox, D.L. (1944) Biology of the California Sea-Mussel (Mytilus californianus). III. Environmental conditions and rate of growth. The Biological Bulletin, 87, 59–72. https://doi.org/10.2307/1538129.						
R717	Corbisier, T.N., Petti, M.A. V., Skowronski, R.S.P. & Brito, T.A.S. (2004) Trophic relationships in the nearshore zone of Martel Inlet (King George Island, Antarctica): ?13C stable-isotope analysis. Polar Biology, 27, 75–82. https://doi.org/10.1007/s00300-003-0567-z.						
R718	Planque, B., Primicerio, R., Michalsen, K., Aschan, M., Certain, G., Dalpadado, P., Gjøsæater, H., Hansen, C., Johannesen, E., Jørgensen, L.L., Kolsum, I., Kortsch, S., Leclerc, L.-M., Omli, L., Skern-Mauritzen, M. & Wiedmann, M. (2014) Who eats whom in the Barents Sea: a food web topology from plankton to whales. Ecology, 95, 1430–1430. https://doi.org/10.1890/13-1062.1.						
R719	Hopkins, T.L. (1987) Midwater food web in McMurdo Sound, Ross Sea, Antarctica. Marine Biology, 96, 93–106. https://doi.org/10.1007/BF00394842.						
R720	Kotta, J. & Ólafsson, E. (2003) Competition for food between the introduced polychaete Marenzelleria viridis (Verrill) and the native amphipod Monoporeia affinis Lindström in the Baltic Sea. Journal of Sea Research, 50, 27–35. https://doi.org/10.1016/S1385-1101(03)00041-8.						
R721	Rouse, G. & Pleijel, F. (2001) Polychaetes, Oxford University Press, Oxford xiii, 354p.						
R722	Kasai, A., Horie, H. & Sakamoto, W. (2004) Selection of food sources by Ruditapes philippinarum and Mactra veneriformis (Bivalva: Mollusca) determined from stable isotope analysis. Fisheries Science, 70, 11–20. https://doi.org/10.1111/j.1444-2906.2003.00764.x.						
R723	Onodera, R. & Sakurai, I. (2018) Distribution, reproductive cycle, and food habits of the herbivorous snail Chlorostoma lischkei off the coast of Suttsu Bay in southwestern Hokkaido, Japan. Nippon Suisan Gakkaishi, 84, 54–64. https://doi.org/10.2331/suisan.17-00029.						
R724	Rodrigues, C.L., Nojima, S. & Kikuchi, T. (1987) Mechanics of prey size preference in the gastropd Neverita didyma preying on the bivalve Ruditapes philippinarum. Marine Ecology Progress Series, 40, 87–93.						
R725	Takahashi, K., Sawada, H. & Masuda, R. (2019) Potential predators of pelagic larvae and early settled juveniles of Manila clam. Aquaculture Science, 67, 275–279. https://doi.org/https://doi.org/10.11233/aquaculturesci.67.275.						
R726	Tezuka, N., Takada, Y., Shigeta, T. & Uchida, M. (2021) Identification of Potential Predators for Asari Clam Ruditapes philippinarum Using Time-lapse Camera Observations. Japan Agricultural Research Quarterly: JARQ, 55, 85–96. https://doi.org/10.6090/jarq.55.85.						
R727	Yamakawa, U., Kanou, K., Tsuda, Y. & Kon, K. (2021) Food resource use by juveniles of the endangered sleeper Eleotris oxycephala in the Sagami River system, Japan. Ichthyological Research, 68, 426–436. https://doi.org/10.1007/s10228-020-00795-x.						
R728	Lock, K., Van Haaren, T., Tempelman, D. & Adriaens, T. (2014) Notes on some aquatic larvae of several fly families in Flanders (Diptera: Athericidae, Chaoboridae, Dixidae, Sciomyzidae and Tabanidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 150, 22–29.						
R729	Xia, X., Guan, S.F. & Gong, S.. (2011) Fengxi river flower eating study. Jiangxi Fisheries Science and Technology, 2, 24–29. https://doi.org/10.3969/j.issn.1006-3188.2011.02.008.						
R730	Rodriguez, G., Fikáček, M., Minoshima, Y.N., Archangelsky, M. & Torres, P.L.M. (2021) Going underwater: multiple origins and functional morphology of piercing-sucking feeding and tracheal system adaptations in water scavenger beetle larvae (Coleoptera: Hydrophiloidea). Zoological Journal of the Linnean Society, 193, 1–30. https://doi.org/10.1093/zoolinnean/zlaa132.						
